ID	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i11	i12
60	4	4	2	2	3	3	5	4	2	2	3	2
61	5	3	4	3	5	4	5	5	1	4	2	3
62	5	3	3	3	2	3	1	3	3	3	3	2
63	5	4	3	3	1	3	4	4	1	4	4	2
64	4	3	3	2	4	4	4	5	2	2	3	2
65	5	2	2	1	3	3	4	5	2	2	4	1
66	4	2	2	1	3	2	5	5	2	4	3	3
67	4	2	2	1	1	5	1	5	4	2	3	1
68	5	2	2	3	3	4	5	5	2	4	3	3
69	5	3	3	2	2	4	5	5	2	2	3	2
70	5	4	4	3	2	3	5	5	1	5	3	3
71	5	4	4	3	2	3	4	5	2	3	2	2
72	4	1	2	1	3	1	3	3	2	3	3	2
73	5	3	2	2	2	4	4	5	2	4	4	3
74	4	3	2	2	2	4	4	3	3	2	3	1
75	4	3	3	2	1	2	1	2	3	3	3	2
76	5	2	2	1	2	3	3	5	1	4	2	3
77	3	2	2	1	3	5	4	5	2	4	3	2
78	4	3	1	1	2	4	5	5	1	4	3	4
79	5	4	4	4	2	3	5	5	3	2	2	1
80	5	3	3	2	3	4	4	4	3	2	1	1
81	4	4	2	3	3	2	3	4	3	2	2	1
82	4	2	3	3	3	4	4	4	3	2	5	2
83	5	3	3	3	3	2	3	3	1	5	3	5
84	2	2	1	1	1	2	1	3	2	2	4	3
85	5	3	4	2	2	4	4	5	1	3	3	3
86	5	3	2	2	2	4	4	5	1	3	4	3
87	5	4	4	4	3	2	3	4	1	4	3	2
88	4	3	2	2	2	4	4	4	2	3	4	3
89	4	3	4	3	2	4	4	3	2	3	3	3
90	4	4	3	3	3	3	4	5	2	2	3	2
91	5	4	3	3	2	3	1	3	4	3	4	1
92	5	4	4	3	3	2	4	4	1	3	3	3
93	5	4	1	3	2	4	4	5	1	5	5	4
94	5	4	4	3	3	4	5	5	2	2	3	3
95	5	5	5	3	4	2	5	5	3	3	3	2
96	5	2	2	1	5	2	4	5	1	4	4	3
97	4	4	3	3	1	5	1	2	4	2	1	1
98	4	3	3	3	1	2	3	3	2	2	4	1
99	4	2	1	2	3	1	2	4	2	3	3	2
100	5	3	3	3	3	3	4	3	3	2	4	1
101	5	3	2	3	2	4	3	4	4	2	4	2
102	5	1	2	2	2	3	3	5	1	4	4	3
103	4	2	3	3	1	2	2	2	1	2	1	2
104	4	4	2	2	3	4	3	5	2	3	2	3
105	4	3	2	3	2	3	3	4	3	3	2	2
106	5	5	5	3	3	4	5	5	1	3	4	2
107	5	3	3	3	4	4	5	5	2	2	1	2
108	5	3	3	2	4	4	4	5	2	3	3	3
109	5	3	3	1	2	4	2	4	1	4	4	4
110	5	4	4	3	3	4	5	5	2	4	5	3
111	4	3	2	2	2	4	4	4	2	3	3	2
112	4	3	3	2	2	1	4	3	2	3	1	3
113	5	4	3	3	3	4	4	5	2	4	2	3
114	4	3	3	3	2	2	4	3	4	2	2	1
115	4	3	1	1	2	4	3	5	1	3	5	3
116	4	2	3	3	1	5	4	4	3	2	3	2
117	4	2	2	3	4	3	4	5	1	2	2	1
118	4	4	3	2	3	3	4	5	3	1	3	1
119	5	3	3	3	3	3	4	4	2	3	4	2
120	4	2	1	3	3	5	5	5	2	2	3	2
121	3	3	2	3	2	4	3	5	2	2	3	2
122	5	4	3	4	4	4	5	5	2	3	3	1
123	4	2	1	2	2	3	3	4	1	4	1	3
124	4	2	1	1	2	3	4	3	1	5	3	3
125	4	4	3	3	2	3	3	3	1	3	2	3
126	5	3	2	3	4	2	5	5	2	3	3	2
127	4	2	3	2	3	4	3	3	1	3	4	2
128	4	1	2	2	3	3	5	5	2	3	2	2
129	4	2	2	2	3	2	4	4	3	2	4	1
130	4	2	2	1	2	3	3	4	1	3	2	3
131	5	4	4	3	1	3	4	4	2	2	3	1
132	4	2	3	2	2	2	5	5	3	2	5	1
133	5	3	2	3	2	5	5	5	3	2	4	3
134	3	1	2	1	3	2	4	5	4	2	3	2
135	5	4	4	3	3	2	4	5	3	2	1	2
136	3	3	3	2	1	4	4	1	3	2	2	1
137	2	2	2	2	4	4	4	4	2	4	4	2
138	3	2	3	2	3	3	3	4	3	3	3	3
139	5	3	4	3	2	4	3	3	3	2	3	1
140	4	2	2	2	3	2	4	4	2	3	4	3
141	4	3	3	3	1	4	4	4	5	2	2	1
142	5	4	2	4	2	4	5	5	2	3	5	3
143	2	2	1	1	4	4	1	4	2	2	1	2
144	4	4	4	3	3	4	3	2	4	2	2	2
145	4	3	2	3	1	4	3	2	4	3	2	2
146	4	3	3	3	3	3	4	5	4	2	3	1
147	5	3	2	3	2	4	5	5	1	5	3	5
148	5	5	3	3	3	2	4	5	3	2	2	2
149	2	3	2	3	1	5	4	3	2	2	3	1
150	1	2	2	2	3	4	2	4	3	2	2	1
151	4	4	1	2	4	3	4	5	2	3	4	2
152	5	3	3	3	3	3	4	4	3	3	1	2
153	4	2	3	2	2	3	1	2	1	4	4	3
154	3	3	2	3	4	2	5	4	3	2	1	1
155	3	2	2	2	3	3	2	3	4	3	2	2
156	4	2	3	3	4	4	5	5	4	1	2	1
157	5	4	3	3	4	3	3	5	2	4	3	3
158	4	3	1	2	3	2	3	3	2	2	4	3
159	4	2	2	2	2	2	3	5	4	2	3	1
160	5	4	3	2	4	4	4	5	1	5	5	4
161	5	3	2	2	3	4	5	5	1	3	4	3
162	4	3	2	3	1	3	2	3	2	3	4	3
163	5	4	3	3	3	3	4	5	1	3	3	1
164	5	4	4	2	4	4	3	5	1	3	1	3
165	4	2	2	2	5	2	5	5	3	2	2	1
166	5	5	3	2	4	2	5	5	1	3	5	3
167	4	4	4	3	2	2	5	4	3	2	2	2
168	3	2	1	1	1	3	3	3	4	2	3	3
169	4	2	3	1	3	4	4	5	2	3	2	2
170	4	2	2	2	1	4	3	5	1	4	4	4
171	5	4	5	3	4	3	5	5	1	4	2	3
172	4	3	2	2	2	5	3	4	1	4	3	3
173	5	4	3	3	2	2	5	3	3	3	3	2
174	5	5	3	3	3	3	3	2	3	3	1	1
175	5	3	3	2	2	3	2	3	2	3	4	2
176	5	3	4	5	3	4	3	5	3	2	2	1
177	5	4	3	3	4	2	5	5	3	3	4	2
178	5	5	3	3	4	4	4	5	1	3	2	3
179	5	2	2	3	3	4	4	5	2	4	3	3
180	5	3	5	3	3	4	5	5	1	2	3	2
181	3	3	2	3	1	3	1	1	2	3	3	2
182	5	4	4	3	3	4	4	5	2	2	2	2
183	5	3	3	2	3	4	4	4	2	3	4	3
184	2	2	2	2	2	4	4	4	3	2	3	2
185	5	4	4	3	2	4	4	5	2	3	2	2
186	5	4	4	3	1	4	2	3	3	3	2	2
187	5	4	4	4	2	1	5	5	2	3	5	2
188	4	1	1	3	2	3	1	4	3	4	3	2
189	4	3	3	2	1	4	1	1	1	3	4	2
190	3	3	2	2	2	4	4	5	3	2	3	1
191	4	2	3	3	2	2	3	1	2	3	2	3
192	5	4	3	1	3	2	5	5	2	4	2	3
193	4	3	3	2	4	3	5	5	4	2	2	1
194	5	3	5	5	2	5	4	4	2	2	4	2
195	2	1	1	1	4	3	3	5	2	2	3	2
196	4	2	2	2	2	3	3	4	2	2	1	2
197	5	5	4	3	4	2	5	5	3	2	2	2
198	4	2	1	2	2	2	3	4	2	3	2	2
199	5	3	1	2	3	4	5	5	2	4	3	3
200	4	3	3	1	3	2	4	5	2	2	2	2
201	5	3	2	2	4	5	5	5	2	3	2	2
202	5	3	3	5	1	3	3	3	1	5	3	5
203	5	3	2	3	5	1	5	5	1	3	4	3
204	4	2	2	1	3	5	5	5	2	2	5	1
205	2	3	3	1	1	2	3	3	4	2	2	1
206	5	5	5	4	4	3	4	5	1	3	2	3
207	5	5	2	3	4	4	5	5	3	3	3	1
208	5	4	3	3	2	3	5	5	3	3	4	2
209	4	3	3	2	1	2	3	3	1	3	5	3
210	4	3	4	3	1	2	2	3	1	4	4	3
211	3	2	2	1	3	5	4	5	1	3	4	3
212	5	3	4	2	1	3	2	3	2	4	4	3
213	4	2	3	4	1	4	3	5	2	2	3	2
214	4	2	2	3	3	5	4	3	4	2	2	1
215	5	5	3	3	2	3	3	5	2	3	2	3
216	5	5	5	4	5	3	4	5	4	2	4	2
217	4	4	4	3	1	2	3	5	3	2	4	2
218	3	1	1	2	2	5	1	4	2	3	4	3
219	5	4	4	2	3	3	2	4	1	2	3	2
220	4	3	2	3	1	3	4	3	1	3	1	4
221	2	1	2	1	2	2	4	3	3	3	1	2
222	5	5	3	4	2	4	3	3	3	3	3	2
223	4	2	1	2	2	5	1	4	2	3	4	3
224	4	3	3	2	2	4	4	4	2	3	2	2
225	4	4	2	3	1	3	4	4	4	2	2	2
226	5	4	5	2	3	2	4	5	1	4	4	3
227	5	3	3	2	3	5	4	5	2	2	2	1
228	3	3	1	1	2	4	1	3	1	2	2	2
229	4	5	2	4	1	3	2	1	2	3	3	3
230	5	4	3	2	3	4	4	5	3	3	3	3
231	4	3	2	2	3	4	3	3	2	2	2	2
232	1	2	1	1	1	3	1	1	4	2	3	1
233	4	3	3	3	2	2	3	5	4	2	4	1
234	5	3	4	3	3	4	4	5	2	3	3	2
235	4	3	2	2	3	4	4	4	1	3	2	2
236	4	4	4	3	3	3	4	3	2	2	3	2
237	4	3	3	3	3	5	4	3	1	4	3	3
238	4	3	3	2	2	1	3	3	3	2	3	1
239	5	4	2	2	2	3	5	4	2	4	4	5
240	4	2	2	1	2	4	5	5	1	3	3	3
241	5	4	4	3	3	5	5	5	3	2	3	1
242	5	5	5	4	3	4	3	3	2	2	2	2
243	4	2	1	2	3	4	4	5	2	5	3	3
244	2	2	2	1	3	4	2	5	2	3	3	2
245	5	4	2	2	3	4	5	5	2	3	3	2
246	3	1	3	2	3	3	3	3	5	2	1	1
247	4	3	2	3	1	2	2	1	1	3	2	3
248	4	2	3	3	1	4	4	5	4	3	3	2
249	4	2	2	2	1	3	3	4	1	4	4	3
250	5	2	3	1	3	3	4	5	1	5	4	4
251	4	3	4	4	3	4	5	4	2	2	1	2
252	5	4	4	3	1	3	4	5	2	2	4	2
253	5	5	4	3	2	2	1	3	4	2	3	2
254	4	4	2	3	1	3	3	1	4	4	3	3
255	5	3	3	3	3	4	5	5	2	2	4	2
256	5	5	4	3	4	4	5	5	2	2	3	1
257	1	1	1	2	1	2	1	2	1	2	3	2
258	4	3	3	2	3	3	4	4	1	4	3	3
259	4	3	2	3	2	1	4	3	1	4	3	3
260	4	2	2	2	3	4	5	5	2	2	1	2
261	5	4	2	3	3	3	4	5	1	4	2	3
262	4	3	1	1	3	4	4	4	1	2	4	2
263	4	3	4	2	4	3	5	5	2	2	1	1
264	5	3	4	2	4	4	4	5	1	3	2	3
265	5	2	3	4	4	4	3	5	1	4	3	3
266	4	2	3	2	2	3	3	4	1	4	2	4
267	4	4	2	1	1	4	4	3	2	3	3	3
268	2	1	2	2	2	4	3	3	2	3	3	3
269	4	2	3	2	3	2	3	5	2	2	3	3
270	4	4	4	3	2	4	1	3	2	2	2	1
271	5	4	4	1	3	1	1	3	3	2	5	2
272	5	5	3	3	4	3	3	5	2	2	3	1
273	4	3	2	3	1	3	2	1	3	3	4	2
274	5	4	2	2	4	4	4	5	1	5	5	5
275	4	5	4	3	1	4	2	3	2	3	3	2
276	5	5	4	3	3	3	3	5	2	3	3	3
277	3	2	1	1	1	3	1	3	2	1	4	1
278	5	4	2	3	3	4	3	3	2	4	3	2
279	4	2	2	3	2	2	2	4	3	2	2	1
280	5	3	3	1	3	3	3	4	1	4	3	4
281	5	2	2	2	4	2	5	5	2	3	3	2
282	4	3	2	2	1	2	3	2	2	3	2	3
283	5	5	4	5	2	3	2	5	2	3	3	3
284	4	4	2	4	2	3	1	1	3	3	2	2
285	4	3	2	2	1	2	4	4	2	3	3	2
286	4	3	2	3	2	4	4	4	4	2	3	1
287	3	3	2	3	1	3	4	5	2	3	3	2
288	5	4	3	4	3	4	4	3	2	4	2	3
289	5	4	3	3	1	4	3	4	1	4	1	3
290	5	5	4	2	3	3	4	5	2	3	3	2
291	4	3	4	3	2	2	3	3	3	3	3	2
292	5	2	3	2	3	2	3	3	1	4	5	3
293	5	3	2	3	3	1	3	3	3	4	4	2
294	4	3	2	2	1	5	1	2	2	3	2	2
295	5	5	5	5	1	3	3	3	1	4	4	3
296	5	4	3	3	2	5	4	5	2	2	2	2
297	5	3	2	3	3	2	4	5	1	4	3	2
298	5	3	4	4	3	5	4	5	3	3	4	2
299	5	4	3	3	4	4	5	5	4	1	2	1
300	4	2	4	1	1	3	3	4	2	3	3	3
301	5	5	5	2	3	4	4	5	2	3	3	2
302	4	3	4	3	2	4	3	3	4	2	2	1
303	5	3	2	3	3	3	5	5	1	4	4	4
304	4	2	3	1	4	5	4	4	3	3	4	2
305	5	5	4	5	3	3	3	4	1	3	3	3
306	5	5	3	2	4	5	4	5	1	4	2	3
307	5	2	2	2	3	2	5	5	3	3	3	3
308	4	2	2	2	2	5	5	5	1	4	4	3
309	3	2	2	1	1	3	4	3	2	3	3	2
310	5	4	3	4	4	4	4	5	2	2	1	1
311	5	2	3	3	3	3	5	5	2	5	2	3
312	5	3	2	4	1	3	4	2	2	4	2	3
313	4	2	2	3	1	3	4	3	2	3	2	2
314	4	3	5	3	3	4	5	4	4	1	2	1
315	5	3	2	2	3	3	4	4	2	3	2	2
316	5	3	2	2	2	5	4	5	1	5	4	4
317	4	3	2	1	2	4	4	3	3	3	4	3
318	5	4	5	2	2	4	3	5	2	2	1	1
319	3	2	2	2	4	3	4	5	5	2	3	1
320	5	3	2	3	2	3	2	4	1	3	2	3
321	5	3	4	3	4	4	4	5	2	3	4	4
322	5	4	3	3	2	4	4	4	2	4	4	4
323	5	3	3	3	3	4	4	5	1	3	4	3
324	4	2	1	1	3	4	1	5	4	2	4	1
325	5	4	2	3	3	5	3	4	1	3	3	2
326	5	4	2	2	3	4	4	5	2	4	4	2
327	5	5	3	3	2	4	4	3	4	2	2	2
328	4	2	1	2	2	5	3	5	1	5	2	4
329	4	2	2	2	4	3	4	5	2	1	2	1
330	5	2	4	2	4	2	4	5	1	3	5	2
331	4	3	2	3	1	2	5	5	2	2	2	2
332	2	1	1	2	1	3	4	3	1	3	3	2
333	4	3	1	2	2	2	3	4	1	3	2	3
334	5	3	2	4	3	5	4	5	2	3	3	3
335	5	2	2	2	3	3	4	4	3	3	3	2
336	5	3	2	3	2	4	3	5	2	4	4	3
337	5	2	2	2	3	5	4	5	1	5	4	5
338	5	4	3	1	2	3	1	4	3	4	2	3
339	5	3	3	2	3	4	4	5	3	2	3	1
340	4	3	3	3	3	3	4	5	4	2	3	1
341	5	2	2	1	3	5	5	5	1	5	3	4
342	4	4	3	2	4	2	3	5	3	1	1	1
343	4	2	1	1	1	4	3	5	1	5	4	5
344	5	3	4	3	2	4	3	3	2	3	3	1
345	2	2	2	3	1	4	1	2	5	2	2	1
346	3	3	2	2	1	4	3	2	2	2	2	2
347	5	2	2	2	4	4	4	5	1	4	4	4
348	4	3	2	2	3	4	3	5	2	3	3	2
349	5	4	4	3	4	2	5	4	2	2	1	1
350	5	4	2	3	4	4	5	5	1	4	3	4
351	5	2	2	2	3	3	5	5	1	4	2	5
352	5	3	3	3	3	5	3	4	1	4	2	3
353	5	4	2	3	3	4	4	5	2	2	3	2
354	5	4	4	4	3	4	3	5	4	2	2	1
355	5	4	2	3	4	1	5	5	2	4	3	3
356	5	3	4	2	4	2	4	5	2	3	2	2
357	4	3	2	1	3	2	4	4	4	2	3	2
358	4	2	3	2	3	3	5	4	3	2	2	1
359	4	2	2	1	1	3	3	3	4	2	3	1
360	4	3	2	2	4	4	3	5	3	3	2	2
361	1	1	1	1	2	3	2	3	2	2	3	1
362	5	3	2	2	3	3	5	5	1	5	4	5
363	3	2	2	3	3	4	4	5	2	2	1	2
364	3	3	1	3	1	1	5	5	3	3	3	2
365	5	4	3	3	2	3	1	3	3	3	4	2
366	5	2	2	2	3	4	4	4	1	3	3	4
367	5	3	2	3	4	4	4	5	2	3	5	3
368	5	4	2	2	3	3	5	5	4	3	2	1
369	4	3	3	1	2	3	4	4	2	3	3	2
370	2	2	1	3	2	3	3	5	2	2	1	1
371	4	3	1	2	1	3	3	3	1	3	4	3
372	5	3	2	3	2	3	4	4	2	3	4	2
373	4	3	3	3	2	2	1	3	2	2	1	1
374	5	3	3	3	2	3	3	3	2	3	2	2
375	2	3	3	3	1	4	3	3	3	2	2	1
376	4	3	4	2	4	3	3	3	2	3	3	3
377	5	3	4	3	2	2	3	3	2	3	3	2
378	5	2	2	2	3	2	3	3	2	3	4	2
379	5	2	4	3	2	3	1	4	1	3	2	2
380	5	4	4	3	4	5	4	5	2	4	3	3
381	5	4	2	3	3	3	4	5	2	2	3	3
382	5	2	2	3	3	3	5	5	1	4	5	3
383	4	2	2	2	2	5	4	5	4	3	3	2
384	4	3	3	2	3	2	4	5	2	3	3	2
385	5	3	4	3	2	4	4	5	1	4	4	3
386	4	3	2	1	2	4	3	4	1	4	3	3
387	2	3	1	1	2	3	2	5	3	1	1	1
388	3	2	3	1	2	4	4	5	1	5	3	4
389	3	3	2	3	1	4	1	3	4	2	3	1
390	4	3	2	1	2	3	3	4	3	3	3	2
391	5	2	4	2	4	2	5	5	1	4	3	3
392	4	3	3	3	3	4	4	5	1	3	2	2
393	5	3	2	3	2	3	3	5	1	5	3	5
394	5	3	3	4	3	2	3	4	3	3	4	2
395	4	2	2	3	2	4	3	5	1	2	4	3
396	4	3	2	2	2	4	3	3	3	3	2	2
397	5	3	3	3	5	3	4	5	2	3	2	3
398	4	4	3	1	2	4	2	3	1	4	2	3
399	4	3	3	3	4	1	4	4	4	2	3	1
400	5	5	3	3	2	4	4	5	2	4	4	2
401	5	5	4	4	3	3	2	5	2	2	3	2
402	5	4	4	3	3	4	4	5	1	4	3	4
403	3	3	2	2	3	4	3	4	2	3	3	2
404	4	3	3	1	2	4	5	5	3	3	1	1
405	4	2	2	2	2	3	4	4	2	3	3	2
406	5	3	3	1	3	1	4	5	3	2	2	1
407	4	3	2	2	2	2	2	4	1	3	2	3
408	4	2	2	2	3	4	5	5	2	3	2	3
409	5	3	2	3	4	2	5	5	1	4	3	3
410	4	3	2	3	4	3	3	4	3	3	2	1
411	5	3	2	3	1	4	4	2	2	3	3	1
412	5	4	4	2	2	3	4	5	2	3	4	2
413	5	4	3	4	4	2	4	5	2	2	4	2
414	4	3	3	2	2	2	3	3	3	2	3	2
415	3	1	1	3	2	4	3	3	2	4	3	3
416	5	3	3	3	2	2	5	5	2	3	1	3
417	5	4	4	2	3	2	4	5	1	3	2	3
418	5	2	3	3	1	3	3	3	2	3	3	3
419	2	3	2	2	1	2	1	3	2	2	2	1
420	5	3	3	4	2	3	3	3	1	5	5	5
421	5	3	4	3	3	4	4	3	1	4	4	4
422	2	2	3	1	1	3	3	2	1	4	3	4
423	4	4	3	3	1	4	1	3	2	3	4	2
424	4	3	3	3	1	5	1	3	4	2	1	1
425	5	3	3	4	2	3	3	4	2	4	4	3
426	5	4	4	4	3	4	5	5	2	3	5	2
427	4	3	1	1	4	2	3	3	4	2	3	1
428	4	2	3	3	2	3	2	5	3	2	4	1
429	4	2	1	2	2	3	4	3	2	3	4	2
430	4	3	3	2	2	2	3	4	2	3	2	2
431	1	2	2	1	2	4	1	4	3	2	3	2
432	5	2	3	3	2	3	3	3	2	3	4	3
433	3	3	3	4	1	4	1	1	4	3	3	1
434	5	5	3	4	3	2	5	3	4	2	2	1
435	5	3	3	3	2	1	3	5	1	3	3	3
436	2	2	2	2	1	4	2	4	1	4	3	4
437	5	5	4	4	1	4	3	4	2	3	3	3
438	5	3	3	2	3	5	4	4	4	2	2	2
439	5	3	3	3	1	4	2	3	2	2	2	2
440	5	4	4	3	2	4	3	4	2	3	1	2
441	4	3	3	2	2	3	4	3	2	2	4	2
442	5	2	2	2	5	4	5	5	1	4	3	4
443	4	3	1	3	2	3	4	4	2	4	3	3
444	5	5	2	2	2	4	4	4	1	3	2	3
445	5	3	2	3	4	2	5	5	3	3	2	2
446	1	1	1	1	2	3	3	2	3	2	1	1
447	3	2	2	2	1	2	1	3	2	3	3	2
448	2	2	1	1	3	3	5	5	1	4	3	3
449	5	4	3	2	3	4	3	5	2	3	2	2
450	1	1	1	2	1	3	2	3	4	2	4	1
451	5	3	2	2	3	3	3	5	2	5	4	3
452	4	3	2	2	2	3	3	3	2	2	2	1
453	4	3	3	1	3	2	2	3	2	3	3	2
454	4	2	2	2	2	3	1	3	2	2	1	1
455	4	2	2	2	1	2	3	4	3	2	2	1
456	4	3	2	3	2	3	5	5	3	3	4	3
457	5	3	2	3	3	5	1	5	1	3	4	3
458	2	3	2	2	1	4	1	2	4	2	4	2
459	4	3	2	2	2	5	2	3	2	2	2	1
460	5	5	3	5	3	5	3	5	4	2	5	1
461	5	2	3	3	2	3	4	5	3	2	1	2
462	5	5	4	3	4	4	4	5	1	4	3	4
463	5	5	3	5	4	2	4	5	2	2	2	1
464	4	2	2	2	2	4	4	4	1	5	4	4
465	5	4	3	2	4	3	4	5	3	2	1	2
466	5	5	4	2	2	4	1	4	2	2	2	2
467	4	1	2	1	2	2	3	4	3	4	4	3
468	5	5	4	3	3	4	4	5	4	2	2	2
469	5	4	3	2	4	3	4	5	1	4	3	4
470	5	3	3	3	4	5	4	5	1	3	4	2
471	3	2	1	3	3	3	4	4	2	2	3	2
472	3	1	1	1	3	3	3	3	3	3	4	1
473	4	3	2	2	3	4	5	5	3	2	4	1
474	5	2	2	3	4	3	3	5	3	3	1	3
475	5	5	5	4	4	3	4	5	2	2	2	1
476	3	2	2	3	3	2	4	4	3	2	2	1
477	5	4	3	4	2	5	1	3	1	3	3	3
478	4	4	2	2	3	2	4	4	2	3	4	3
479	5	2	3	1	4	4	4	4	1	5	4	5
480	5	3	3	2	2	3	4	5	2	4	2	2
481	4	2	1	3	2	2	3	5	2	3	2	3
482	3	1	3	2	2	2	4	3	3	2	3	2
483	4	3	2	3	2	2	3	5	3	2	1	2
484	4	3	2	2	1	2	4	4	1	3	2	3
485	5	4	5	4	3	2	4	5	1	5	3	4
486	5	5	5	3	3	4	4	5	1	5	2	5
487	5	3	3	3	3	3	3	3	2	2	2	2
488	3	2	3	2	2	5	3	3	2	3	2	1
489	1	2	1	1	1	4	3	4	2	2	4	1
490	5	3	3	2	2	5	3	4	1	4	3	3
491	4	3	2	3	1	4	3	4	3	2	2	1
492	5	4	5	3	3	4	5	5	2	4	4	3
493	3	2	3	1	3	4	3	3	2	3	3	2
494	5	3	3	3	2	3	1	4	2	4	4	3
495	5	5	4	5	2	4	4	5	1	5	3	5
496	4	2	3	2	1	3	4	4	4	3	3	1
497	4	4	3	3	3	4	5	5	3	3	4	2
498	4	3	2	3	1	2	1	3	2	2	2	1
499	4	4	4	1	4	4	5	5	3	2	4	1
500	2	3	3	2	3	3	4	5	3	2	4	1
