"A1" "A2" "A3" "A4" "D1" "D2" "D3" "D4" "V1" "V2" "V3" "V4"
"39" 2 4 3 4 4 2 3 4 3 3 2 2
"40" 4 4 4 4 3 4 4 4 4 3 4 4
"41" 3 4 4 4 4 4 4 4 4 4 4 4
"42" 4 4 4 2 3 3 3 3 3 2 2 3
"43" 4 4 4 4 2 3 2 3 3 4 3 4
"44" 4 4 2 4 2 2 2 2 4 4 3 4
"45" 4 4 4 4 4 4 4 4 4 4 4 4
"46" 4 4 4 4 4 4 4 4 4 4 4 0
"47" 4 2 4 3 2 4 2 2 4 4 3 4
"48" 0 2 2 0 2 2 2 2 4 3 4 4
"49" 4 4 3 4 4 4 4 4 4 3 4 4
"50" 4 4 4 4 4 4 4 4 4 4 4 4
"51" 4 4 4 4 3 2 3 4 3 4 3 4
"52" 4 4 4 4 4 4 4 4 4 4 4 4
"53" 3 3 2 3 4 2 3 4 4 4 3 4
"54" 4 4 4 2 2 2 2 4 4 4 3 4
"55" 4 4 4 4 1 1 1 0 2 1 3 4
"56" 4 4 3 4 2 2 2 3 3 2 2 4
"57" 4 4 4 4 1 1 1 1 4 4 4 4
"58" 4 4 4 4 4 4 4 4 4 4 4 4
"59" 3 2 3 4 3 4 3 4 2 3 3 4
"60" 4 4 4 4 3 2 3 3 4 4 3 4
"61" 4 4 4 4 4 4 4 4 4 4 4 4
"62" 3 4 4 3 2 2 2 4 3 2 4 2
"63" 4 4 4 4 4 3 4 4 4 4 4 4
"64" 4 4 4 4 2 2 2 2 4 1 3 2
"65" 4 4 4 4 4 4 4 4 3 3 4 4
"66" 4 4 4 4 4 4 4 4 4 4 3 4
"67" 4 4 4 4 4 4 3 4 4 3 4 4
"68" 3 2 4 4 2 2 2 2 4 2 2 2
"69" 4 4 4 4 4 4 4 4 3 4 3 4
"70" 3 3 3 2 2 2 2 2 2 1 2 3
"71" 4 4 4 4 4 4 4 4 4 3 4 4
"72" 4 4 4 4 4 3 4 4 4 4 4 4
"73" 4 4 4 4 2 2 3 4 3 4 3 4
"74" 4 4 4 4 3 3 3 3 4 4 4 4
"75" 4 4 4 4 4 4 4 4 3 4 4 4
"76" 4 4 4 4 2 2 3 4 4 2 3 4
"77" 3 3 3 3 4 4 2 3 3 2 2 4
"78" 4 2 2 2 2 2 2 3 1 1 3 4
"79" 2 2 2 4 4 4 4 4 3 2 3 4
"80" 4 4 4 4 4 0 2 4 4 3 4 4
"81" 4 2 4 4 2 0 3 0 4 4 3 4
"82" 4 4 4 4 4 4 4 4 4 4 4 4
"83" 4 4 4 4 3 2 4 4 4 4 3 3
"84" 4 4 4 4 3 3 3 4 3 4 3 4
"85" 2 1 2 2 0 2 0 0 0 0 0 0
"86" 3 4 2 3 2 3 3 3 2 3 3 4
"87" 3 3 4 4 4 2 3 4 3 4 3 4
"88" 4 4 4 4 3 2 4 4 4 2 3 4
"89" 4 4 4 4 4 3 4 4 4 4 4 4
"90" 2 2 2 2 2 2 2 2 4 2 2 4
"91" 4 4 4 4 4 4 4 4 3 4 4 4
"92" 2 2 2 2 4 4 4 4 4 3 4 2
"93" 4 4 4 4 3 3 3 3 2 2 3 4
"94" 4 4 4 4 4 3 4 4 4 2 4 4
"95" 4 4 4 4 4 3 4 3 4 4 4 4
"96" 4 4 4 4 4 4 4 3 4 2 4 4
"97" 4 4 4 4 4 2 4 2 4 4 4 4
"98" 2 2 1 0 2 0 1 1 0 1 3 1
"99" 4 4 0 4 2 2 4 2 2 1 0 4
"100" 4 4 4 4 4 2 4 4 4 4 4 4
"101" 4 4 4 4 3 4 3 3 4 3 3 4
"102" 4 4 3 2 2 2 2 4 3 4 2 4
"103" 2 2 2 2 2 4 2 3 2 2 2 2
"104" 4 4 4 4 3 3 3 4 2 3 4 4
"105" 4 4 4 4 2 2 2 3 4 3 3 4
"106" 3 4 2 4 3 2 2 3 3 4 4 2
"107" 4 3 4 4 3 4 4 4 2 2 3 4
"108" 4 4 4 4 3 2 3 4 3 2 3 4
"109" 3 3 3 2 2 2 2 2 3 4 2 4
"110" 4 4 4 4 3 4 2 3 3 4 4 4
"111" 4 4 4 4 4 4 4 4 4 2 4 4
"112" 4 4 4 4 3 4 4 2 3 3 4 2
"113" 4 4 4 3 3 3 3 3 2 3 4 3
"114" 4 4 4 4 0 0 1 0 4 4 4 2
"115" 4 4 4 4 4 4 4 4 4 2 3 2
"116" 4 4 4 4 3 2 3 4 2 2 2 4
"117" 2 2 2 2 4 4 2 2 0 2 2 2
"118" 4 4 4 4 4 4 4 4 4 3 4 4
"119" 4 4 4 4 4 4 4 4 3 4 4 4
"120" 4 3 4 4 4 3 4 3 4 4 4 2
"121" 4 4 4 4 4 4 4 4 2 4 3 4
"122" 4 4 4 4 2 2 3 2 3 4 3 4
"123" 2 2 2 2 1 1 1 1 1 1 1 4
"124" 4 4 4 4 4 4 4 4 3 4 3 4
"125" 4 4 4 4 2 2 2 2 2 2 3 4
"126" 4 4 4 4 4 4 4 4 3 4 4 4
"127" 4 4 4 4 4 4 4 4 4 4 4 4
"128" 4 4 4 4 4 4 4 3 4 4 4 4
"129" 2 2 4 2 4 2 3 2 4 2 3 3
"130" 4 4 4 4 3 4 4 4 4 4 4 4
"131" 4 4 3 4 2 2 2 2 4 3 4 4
"132" 2 2 2 2 1 2 2 1 3 3 2 2
"133" 4 3 4 4 2 2 2 3 2 2 2 4
"134" 4 4 4 4 3 3 3 4 4 4 4 4
"135" 4 4 4 4 4 4 4 4 4 2 4 4
"136" 4 3 4 4 2 2 2 3 4 3 4 4
"137" 4 4 4 4 1 1 1 1 0 0 3 2
"138" 4 4 4 4 3 4 2 4 3 4 3 3
"139" 4 4 4 4 3 4 3 4 2 4 4 4
"140" 4 4 4 4 4 4 4 4 2 3 4 4
"141" 4 4 4 4 3 4 4 4 4 3 3 4
"142" 4 4 3 4 3 3 3 3 4 1 2 4
"143" 4 4 4 2 2 1 2 2 4 2 4 2
"144" 4 4 4 4 4 4 4 4 4 4 4 4
"145" 4 4 4 4 2 2 2 2 3 4 2 3
"146" 4 4 3 4 3 2 3 4 4 2 4 3
"147" 4 4 4 4 2 3 2 3 3 2 2 2
"148" 2 4 2 4 3 3 3 3 2 2 3 4
"149" 4 4 4 4 4 4 4 4 4 4 4 4
"150" 4 4 4 4 2 2 2 4 0 2 3 4
"151" 4 2 4 4 4 4 4 4 4 1 3 3
"152" 4 4 4 4 2 3 2 4 4 4 4 2
"153" 4 4 4 4 4 4 4 4 4 4 4 4
"154" 4 4 4 4 4 4 4 4 4 4 4 4
"155" 3 2 2 2 2 1 2 1 0 1 2 2
"156" 2 2 2 2 2 2 2 4 2 2 4 4
"157" 4 3 4 4 2 2 2 2 2 3 4 2
"158" 4 3 3 4 2 2 4 3 4 2 4 3
"159" 4 4 4 4 3 3 3 4 4 4 4 4
"160" 4 4 4 4 3 3 3 1 4 4 3 4
"161" 4 4 2 4 2 2 2 2 4 2 3 4
"162" 4 4 4 4 4 4 4 4 4 2 4 1
"163" 4 4 4 4 0 0 0 0 3 2 3 4
"164" 4 4 4 4 3 3 4 3 3 2 4 4
"165" 4 4 3 4 3 4 3 3 3 4 2 3
"166" 4 2 4 4 4 4 4 2 4 4 4 4
"167" 4 4 4 4 4 4 4 4 2 4 3 4
"168" 2 2 3 2 2 1 2 2 3 1 1 1
"169" 4 4 4 4 4 4 4 4 4 4 4 3
"170" 4 4 4 4 0 0 2 1 2 2 4 2
"171" 4 4 4 4 2 4 4 4 4 2 2 4
"172" 3 4 2 3 3 3 3 3 2 2 3 2
"173" 4 4 4 4 4 4 4 4 3 4 3 4
"174" 4 4 4 4 1 2 2 3 4 2 4 4
"175" 3 3 4 4 3 2 3 2 3 4 4 3
"176" 4 4 2 4 4 2 2 2 2 4 4 4
"177" 4 4 4 4 4 4 4 4 4 3 3 2
"178" 4 4 4 4 2 2 4 2 2 2 2 4
"179" 4 4 4 4 2 2 2 3 3 3 4 4
"180" 4 4 4 4 2 2 2 4 2 4 4 4
"181" 4 4 4 4 2 4 2 3 4 4 3 4
"182" 4 4 4 4 3 3 3 3 4 4 4 4
"183" 4 4 4 4 4 4 4 4 4 4 4 4
"184" 4 4 2 4 2 3 2 2 2 2 2 4
"185" 4 4 4 4 4 4 4 4 2 4 4 4
"186" 3 4 2 2 2 2 2 2 2 2 2 2
"187" 4 4 4 4 4 3 4 4 3 4 4 4
"188" 4 4 4 4 4 4 4 4 3 3 4 4
"189" 3 2 3 4 0 1 0 1 1 2 3 2
"190" 4 4 4 4 4 4 4 4 4 4 4 4
"191" 4 4 4 4 2 2 2 2 2 2 3 4
"192" 4 4 4 4 2 2 2 2 2 4 4 4
"193" 4 4 3 4 4 2 2 4 2 4 4 4
"194" 4 4 3 3 4 4 4 4 3 4 4 4
"195" 3 3 2 3 4 3 4 4 3 4 4 3
"196" 3 3 2 2 2 2 2 2 3 2 1 3
"197" 4 4 4 4 4 3 4 4 3 3 3 4
"198" 3 2 2 2 2 2 2 2 2 2 3 4
"199" 3 2 2 3 4 4 4 4 4 4 4 3
"200" 2 2 4 2 1 0 1 1 1 2 3 4
